rank,category,prompt,mean_score,std_score,min_score,max_score,n_samples,audio_paths
94,EMOTION_MOOD,energetic and powerful music,0.212136,0.033759,0.178377,0.245895,2,scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__energetic_and_powerful_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/EMOTION_MOOD__energetic_and_powerful_music__s1.wav
95,INSTRUMENTS,synthesizer pad,0.211709,0.010197,0.201512,0.221907,2,scripts/outputs/prompt_clap_consistency_m/audio/INSTRUMENTS__synthesizer_pad__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/INSTRUMENTS__synthesizer_pad__s1.wav
96,COMPOUND_PHRASES,soft and intimate acoustic guitar solo,0.194562,0.024178,0.170384,0.218740,2,scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__soft_and_intimate_acoustic_guitar_solo__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__soft_and_intimate_acoustic_guitar_solo__s1.wav
97,GENRES,country music,0.180125,0.008751,0.171373,0.188876,2,scripts/outputs/prompt_clap_consistency_m/audio/GENRES__country_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/GENRES__country_music__s1.wav
98,COMPOUND_PHRASES,jubilant fanfare with brass and timpani,0.179238,0.080934,0.098303,0.260172,2,scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__jubilant_fanfare_with_brass_and_timpani__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/COMPOUND_PHRASES__jubilant_fanfare_with_brass_and_timpani__s1.wav
99,ENVIRONMENTS,thunderstorm sounds,0.174744,0.093587,0.081157,0.268331,2,scripts/outputs/prompt_clap_consistency_m/audio/ENVIRONMENTS__thunderstorm_sounds__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/ENVIRONMENTS__thunderstorm_sounds__s1.wav
100,INSTRUMENTS,electric guitar riff,0.173565,0.026835,0.146730,0.200400,2,scripts/outputs/prompt_clap_consistency_m/audio/INSTRUMENTS__electric_guitar_riff__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/INSTRUMENTS__electric_guitar_riff__s1.wav
101,GENRES,rock music,0.172823,0.013108,0.159715,0.185932,2,scripts/outputs/prompt_clap_consistency_m/audio/GENRES__rock_music__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/GENRES__rock_music__s1.wav
102,ENVIRONMENTS,desert wind ambience,0.160392,0.009289,0.151103,0.169681,2,scripts/outputs/prompt_clap_consistency_m/audio/ENVIRONMENTS__desert_wind_ambience__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/ENVIRONMENTS__desert_wind_ambience__s1.wav
103,INSTRUMENTS,drum kit rhythm,0.155167,0.024557,0.130610,0.179724,2,scripts/outputs/prompt_clap_consistency_m/audio/INSTRUMENTS__drum_kit_rhythm__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/INSTRUMENTS__drum_kit_rhythm__s1.wav
104,INSTRUMENTS,choir vocals,0.128217,0.000851,0.127366,0.129069,2,scripts/outputs/prompt_clap_consistency_m/audio/INSTRUMENTS__choir_vocals__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/INSTRUMENTS__choir_vocals__s1.wav
105,ENVIRONMENTS,wind blowing through trees,0.098464,0.136789,-0.038325,0.235254,2,scripts/outputs/prompt_clap_consistency_m/audio/ENVIRONMENTS__wind_blowing_through_trees__s0.wav;scripts/outputs/prompt_clap_consistency_m/audio/ENVIRONMENTS__wind_blowing_through_trees__s1.wav
